EOTV.ElapsedDays,EOTV.ElapsedSecs,EOTV.RAPTank1.FuelMass,REV,AOL,EOTV.EarthMJ2000Eq.AOP,EOTV.Earth.SMA,EOTV.EarthMJ2000Eq.RAAN,EOTV.Earth.ECC,EOTV.EarthMJ2000Eq.INC,EOTV.Earth.OrbitPeriod,EOTV.HET1.ThrustDirection1,EOTV.HET1.ThrustDirection2,EOTV.HET1.ThrustDirection3,EOTV.EOTVSolarArrays.ThrustPowerAvailable,EOTV.Earth.BetaAngle,EOTV.TotalMass
5.683884775,491087.6446,2944.267608,92,313.1244054,0.855255746,7725.667568,274.2502729,0.010448636,26.47293671,6757.95049,0.712095649,-0.702082465,0,200713.5064,-25.54962825,23440.26761
5.685589185,491234.9056,2944.069345,92,321.0946678,0.939226641,7726.43828,274.2443806,0.01059704,26.47575199,6758.961775,0.665228651,-0.746639701,0,200715.0084,-25.55293238,23440.06935
5.687291428,491381.9794,2943.871335,92,329.0682758,1.20223921,7727.164526,274.2404904,0.010745099,26.47821988,6759.914759,0.628617694,-0.777714468,0,200716.2634,-25.55534149,23439.87133
5.688992632,491528.9634,2943.673445,92,337.048372,1.642154541,7727.81254,274.238316,0.01088231,26.48010459,6760.765124,0.601502673,-0.798870787,0,200717.247,-25.55698197,23439.67345
5.690693705,491675.9361,2943.475571,92,345.0369548,2.238120343,7728.352879,274.2374401,0.010998401,26.48120763,6761.47422,0.583056491,-0.812431615,0,200717.9395,-25.55803876,23439.47557
5.692395758,491822.9935,2943.277582,92,353.0368477,2.953829002,7728.763536,274.2373368,0.01108482,26.48138497,6762.013148,0.572628974,-0.819814649,0,200718.3261,-25.55874574,23439.27758
5.694099835,491970.2258,2943.079358,92,361.0504958,3.742350015,7729.032266,274.2374061,0.011135887,26.4805599,6762.365825,0.569844725,-0.821752389,0,200718.3973,-25.55937033,23439.07936
5.695806725,492117.7011,2942.880807,93,9.079036525,4.551810294,7729.158177,274.2370163,0.011149551,26.47873179,6762.53107,0.574632068,-0.818411869,0,200718.1491,-25.56019427,23438.88081
5.697517148,492265.4816,2942.681845,93,17.12322465,5.331620854,7729.152321,274.235553,0.01112765,26.47597898,6762.523385,0.587228813,-0.809420979,0,200717.5833,-25.56149217,23438.68184
5.699231544,492413.6054,2942.482421,93,25.18242468,6.03846114,7729.037066,274.2324685,0.011075599,26.47245567,6762.372124,0.608173657,-0.793804008,0,200716.708,-25.56350887,23438.48242
5.700950053,492562.0846,2942.282518,93,33.25456371,6.641832185,7728.844394,274.2273307,0.011001549,26.46838216,6762.119264,0.638262077,-0.769819149,0,200715.5372,-25.566438,23438.28252
5.702672545,492710.9079,2942.082152,93,41.33628234,7.128362321,7728.613247,274.2198644,0.010915098,26.46402888,6761.815913,0.678409763,-0.734683737,0,200714.0915,-25.57040334,23438.08215
5.704398865,492860.062,2941.88134,93,49.42415303,7.50388917,7728.38618,274.2099814,0.010825699,26.45969457,6761.517922,0.729299209,-0.684194902,0,200712.397,-25.57544561,23437.88134
5.706128724,493009.5217,2941.680117,93,57.51420302,7.792201256,7728.20576,274.1977977,0.010741093,26.45568188,6761.281151,0.790549408,-0.612398264,0,200710.4854,-25.58151478,23437.68012
5.707861834,493159.2625,2941.478516,93,65.60262236,8.030194326,7728.110879,274.1836344,0.010666015,26.45227069,6761.156637,0.859094652,-0.511816743,0,200708.3931,-25.58846949,23437.47852
5.709597931,493309.2613,2941.276568,93,73.6859143,8.259731468,7728.13304,274.168003,0.010601465,26.4496916,6761.185718,0.926822432,-0.375499906,0,200706.1601,-25.59608397,23437.27657
5.711336853,493459.5041,2941.07429,93,81.76132977,8.517591927,7728.29252,274.1515658,0.01054473,26.44810091,6761.395009,0.979302856,-0.202400384,0,200703.8294,-25.60406498,23437.07429
5.713078403,493609.974,2940.871708,93,89.82632272,8.825762738,7728.59487,274.1350677,0.010490207,26.44756126,6761.791796,0.999990443,-0.004371928,0,200701.4459,-25.612082,23436.87171
5.714822514,493760.6652,2940.668827,93,97.87941234,9.185487038,7729.029829,274.1192319,0.010430924,26.44803539,6762.362626,0.98100775,0.193968542,0,200699.0552,-25.61981355,23436.66883
5.71656913,493911.5728,2940.465654,93,105.9197132,9.577880535,7729.575059,274.1046598,0.010360307,26.44940057,6763.078196,0.929877574,0.367869132,0,200696.7032,-25.6269915,23436.46565
5.718318228,494062.6949,2940.262193,93,113.9470785,9.969805457,7730.203023,274.0917863,0.010273554,26.45147589,6763.902379,0.86299354,0.505214953,0,200694.4348,-25.63342107,23436.26219
5.720069529,494214.0073,2940.058476,93,121.9607531,10.319949,7730.885606,274.0808949,0.010168376,26.45404445,6764.798286,0.794832445,0.606828958,0,200692.2936,-25.638974,23436.05848
5.721822915,494365.4998,2939.854517,93,129.9612501,10.58317225,7731.595136,274.0721381,0.010045328,26.4568665,6765.729603,0.733605912,0.679575136,0,200690.3203,-25.64358022,23435.85452
5.723578134,494517.1507,2939.650344,93,137.9489785,10.71442356,7732.303711,274.0655426,0.009907989,26.45968884,6766.65971,0.682470093,0.730913519,0,200688.5523,-25.64722498,23435.65034
5.72533502,494668.9458,2939.445977,93,145.9252146,10.67402653,7732.983351,274.0610027,0.009762832,26.46225777,6767.551874,0.641864693,0.766817916,0,200687.0231,-25.6499527,23435.44598
5.727093385,494820.8685,2939.241438,93,153.8915611,10.43420995,7733.607015,274.0582765,0.009618739,26.46433467,6768.370594,0.611145988,0.791517897,0,200685.7612,-25.65186835,23435.24144
5.728852906,494972.8911,2939.036764,93,161.8494158,9.985939745,7734.150261,274.0569935,0.009486039,26.46571284,6769.083771,0.589421878,0.807825383,0,200684.7902,-25.65313468,23435.03676
5.730613269,495124.9865,2938.831993,93,169.8005318,9.344174936,7734.593201,274.056673,0.009375127,26.46623358,6769.665284,0.575910453,0.817512783,0,200684.1277,-25.65396405,23434.83199
5.732374166,495277.1279,2938.62716,93,177.7469337,8.549365972,7734.922272,274.056754,0.009294861,26.46579918,6770.097316,0.570077639,0.821590826,0,200683.7854,-25.6546053,23434.62716
5.734135367,495429.2957,2938.422291,93,185.6911655,7.663398927,7735.131678,274.0566331,0.009251025,26.46438166,6770.372245,0.571681581,0.820475575,0,200683.7688,-25.65532679,23434.42229
5.735896383,495581.4475,2938.217444,93,193.6346533,6.760016736,7735.224268,274.055708,0.009245266,26.4620269,6770.493808,0.580782134,0.814059035,0,200684.0767,-25.65639709,23434.21744
5.737656778,495733.5456,2938.012669,93,201.5790341,5.911208677,7735.211916,274.0534221,0.009274761,26.45885312,6770.477592,0.597735817,0.801693142,0,200684.7017,-25.65806487,23434.01267
5.739416163,495885.5565,2937.808011,93,209.5260132,5.173871341,7735.115117,274.0493086,0.009332801,26.45504361,6770.350503,0.623174913,0.782082494,0,200685.6303,-25.6605394,23433.80801
5.741174019,496037.4353,2937.603531,93,217.476489,4.580495531,7734.961928,274.0430294,0.009410126,26.45083493,6770.14938,0.657930098,0.753079004,0,200686.8427,-25.66397294,23433.60353
5.74292978,496189.133,2937.399295,93,225.4308277,4.135751302,7734.786263,274.0344074,0.009496677,26.44650014,6769.91875,0.70281828,0.711369429,0,200688.3135,-25.6684464,23433.3993
5.744682862,496340.5992,2937.195371,93,233.3889202,3.819022536,7734.625595,274.0234485,0.009583399,26.44232838,6769.707814,0.758124222,0.652110162,0,200690.0121,-25.6739595,23433.19537
5.74643267,496491.7827,2936.991827,93,241.3501552,3.591309196,7734.518146,274.0103523,0.009663749,26.43860202,6769.566748,0.822494675,0.568772811,0,200691.9034,-25.68042589,23432.99183
5.748178791,496642.6475,2936.788713,93,249.3142414,3.404665005,7734.499544,273.9955078,0.009734704,26.43557192,6769.542325,0.891021624,0.453960864,0,200693.9487,-25.68767518,23432.78871
5.749920823,496793.1591,2936.586074,93,257.2804216,3.212872388,7734.598921,273.9794733,0.009797114,26.43343341,6769.672794,0.953095133,0.30267089,0,200696.1065,-25.69546123,23432.58607
5.751658237,496943.2717,2936.383972,93,265.246847,2.982190847,7734.834481,273.9629329,0.009855316,26.43230367,6769.982056,0.992933824,0.118669375,0,200698.3329,-25.7034815,23432.38397
5.75339103,497092.985,2936.182408,93,273.2135937,2.700076701,7735.209925,273.9466092,0.009915973,26.43220619,6770.474977,0.996747306,-0.080590366,0,200700.5838,-25.71141548,23432.18241
5.755119115,497242.2915,2935.981391,93,281.1799887,2.37857924,7735.714175,273.9311674,0.009986245,26.43307273,6771.137029,0.963051181,-0.269318441,0,200702.8145,-25.7189671,23431.98139
